Order_ID,Product,Category,Salesperson,Region,Units_Sold,Unit_Price,Total_Sales,Order_Date,Customer_ID
31,Tablet,Electronics,John Montoya,East,16,87.98,1407.68,2024-05-11,1be86ddb-4d63-4cec-9e46-98c2e7d81299
32,Mouse,Accessories,Amanda Alvarez,South,2,519.7,1039.4,2023-12-11,be3e4dfb-cd9f-44db-af48-9b564e79e136
33,Smartphone,Electronics,Ryan Hill,West,3,1957.07,5871.21,2023-09-04,e22c6342-c7f3-4072-8cfd-ee10a6d3f07b
34,Tablet,Electronics,Amber Nixon,South,5,1336.51,6682.55,2024-08-18,d7993b45-ad9a-4d21-84fc-73cf05dee77e
35,Tablet,Electronics,Jerry Martin,East,17,1751.24,29771.08,2023-11-11,f6f0c0eb-119c-4787-9875-f3159f9a37ce
36,Printer,Electronics,Mary Coleman,South,10,828.03,8280.3,2025-01-24,7fbffdd3-0067-4ec5-9d1a-f73c99f1c581
37,Mouse,Accessories,Anna Robertson,West,4,533.42,2133.68,2025-04-23,eae003db-3726-4fdb-ad18-af693e55a80e
38,Smartphone,Electronics,Lisa Kirk,North,19,1130.15,21472.85,2024-02-17,df4532d1-4a66-468c-9cf6-30f6979bce1f
39,Monitor,Electronics,John Montoya,North,2,496.44,992.88,2024-11-20,9b493080-3fa7-49bf-b2bc-b9c45c4faa20
40,Laptop,Electronics,Lisa Kirk,North,17,514.11,8739.87,2025-01-05,29d64660-6a6e-49fc-9286-3e49e88942fd
41,Camera,Electronics,Mary Coleman,South,19,1173.61,22298.59,2024-02-07,eeb2690b-d443-41c0-99da-94ea3282f848
42,Monitor,Electronics,Jeffrey Davis,West,7,233.94,1637.58,2025-02-28,81450004-eeef-4ee3-b292-7951cde77c6e
43,Printer,Electronics,Adrian Allen,West,14,960.7,13449.8,2024-12-17,e6a21d3c-88cc-47cc-af4e-26765922e47b
44,Laptop,Electronics,Anthony Stevens,North,2,835.11,1670.22,2024-10-10,27995147-43ff-4bb2-9c14-f43fa84f3f0e
45,Mouse,Accessories,Angela Gutierrez,South,7,420.91,2946.37,2023-12-02,29be5c14-1dbc-404e-8e0b-330b1938a30f
46,Camera,Electronics,Amanda Mueller,West,6,593.16,3558.96,2023-07-16,223d3f0d-8aff-4c58-bacb-e3c76faec61b
47,Monitor,Electronics,Kevin Farley,West,18,240.92,4336.56,2023-10-13,87b86ae4-83c7-45c6-a4f9-ff7ec21c8b07
48,Tablet,Electronics,John Montoya,North,8,374.31,2994.48,2024-01-04,3552cbf6-b76f-4ed4-aa6e-f5e523bb4af5
49,Camera,Electronics,Jeffrey Davis,South,13,1809.76,23526.88,2024-10-12,22d4b504-e529-4fe0-997f-2e9905d56c2b
50,Headphones,Accessories,Jeremy Clements,North,13,567.15,7372.95,2023-10-07,8f2a2612-0d5e-44e6-af85-f8af60db83a0
51,Camera,Electronics,Margaret Wilson,West,18,1340.65,24131.7,2024-09-08,7e2b69c3-bfe7-401d-adb1-70b29b0f902a
52,Camera,Electronics,Michael Morales,South,10,474.52,4745.2,2023-08-05,17acef07-6fbc-4b03-aa1f-6867df4800fe
53,Laptop,Electronics,John Lamb,North,11,161.47,1776.17,2024-07-18,ab61a7ae-cb00-44a9-b54b-ca675f94c407
54,Camera,Electronics,Taylor Hill,South,2,1923.52,3847.04,2024-09-06,a83b6852-d7a7-4f21-846b-fdce2d04bf4c
55,Smartphone,Electronics,Mrs. Heather Kim DVM,North,20,182.52,3650.4,2025-02-09,946422ee-fdc1-4fc8-ae4d-ab7349d4af85
56,Monitor,Electronics,Jason Barrera,North,19,530.12,10072.28,2023-08-16,4675adfd-7fe1-428b-bdd3-942049f9f929
57,Laptop,Electronics,Jack Perry,North,14,1331.88,18646.32,2024-12-04,8b6fee7e-3e20-42eb-8bf2-74e5082a0be2
58,Tablet,Electronics,Cindy Jordan,East,7,1355.97,9491.79,2024-01-13,b30af811-006a-4efb-8248-70e5310bbb5e
59,Mouse,Accessories,Marc Downs,East,13,305.21,3967.73,2024-07-14,80897cfe-0c52-4089-b3aa-0d05b0297b8d
60,Keyboard,Accessories,Robert Johnson,East,3,68.17,204.51,2024-05-22,11345f93-98d4-4668-9b9d-bba124d445e1
61,Smartphone,Electronics,Kevin Farley,South,17,567.14,9641.38,2024-09-17,9d3be69f-3490-4364-b3cc-c53e6cf899b7
62,Mouse,Accessories,Kevin Farley,South,12,605.73,7268.76,2023-07-18,78687f20-dfb9-4bd3-98d5-87844bb7e2dd
63,Camera,Electronics,David Thornton,East,20,1968.51,39370.2,2024-01-22,78243c87-071e-4655-b9e7-e1dbd0595dbb
64,Tablet,Electronics,John Montoya,East,4,1880.91,7523.64,2024-05-25,a3d38725-5e43-44ff-b20f-8544514b79dc
65,Headphones,Accessories,Andrew King,North,4,1497.71,5990.84,2024-11-05,a2a345f3-b02e-4099-a478-1582351a86fa
66,Headphones,Accessories,Benjamin Heath,East,20,460.73,9214.6,2023-09-14,9514f324-8cbe-4ea0-85f9-ae88dcd2fa7f
67,Mouse,Accessories,Mary Coleman,East,17,1002.64,17044.88,2024-11-26,6f4257d9-6271-4f84-b33a-5a2e14b98c87
68,Laptop,Electronics,Ryan Hill,West,9,135.97,1223.73,2025-01-22,00d862c6-79e9-4ff8-a1be-96ab07e007ee
69,Mouse,Accessories,Amber Nixon,South,9,365.08,3285.72,2024-04-26,4719236c-4e4f-406f-bdf7-ccafc1e50b8c
70,Camera,Electronics,Jennifer Wilson,West,18,68.86,1239.48,2024-11-22,8718bc47-9728-4a84-8ac7-203fd4201df7
71,Smartphone,Electronics,James Noble,South,18,120.25,2164.5,2023-08-30,9b233710-dfd8-49b6-bc66-b1e736ce64dd
72,Mouse,Accessories,John Lamb,South,14,298.52,4179.28,2024-04-18,57692c2d-f721-49af-b595-96a7d43ccdda
73,Keyboard,Accessories,Anna White MD,North,12,459.65,5515.8,2023-05-03,7813071f-c239-45b5-955d-0db2407dedf5
74,Monitor,Electronics,Antonio Ellis,North,12,1571.23,18854.76,2024-09-09,116f31ee-99ce-4ae1-9b64-6fcbfcce8f7d
75,Printer,Electronics,Jack Perry,South,8,1735.98,13887.84,2023-12-21,91148620-82a4-41d8-a59a-fcd88a20e354
76,Headphones,Accessories,Tammy Klein,North,6,1486.3,8917.8,2024-03-02,ae508d0f-8c06-4dd1-a3fa-1afa5a0697c1
77,Mouse,Accessories,Tammy Klein,South,9,360.44,3243.96,2023-11-03,30e51144-0fbc-40a5-819c-5547d96b442f
78,Smartphone,Electronics,Jeremy Clements,North,16,483.75,7740.0,2024-07-16,974eb79b-e968-4be2-9977-0e702d9f8508
79,Camera,Electronics,Adrian Allen,East,8,484.7,3877.6,2024-07-16,2cda5332-bfb6-4b1f-9865-06d8afb70dff
80,Monitor,Electronics,Jason Barrera,East,9,1735.49,15619.41,2023-06-05,0ed647b0-d5aa-4126-b0a9-f77a4729dd79
81,Keyboard,Accessories,Adrian Allen,West,18,695.74,12523.32,2025-02-13,329c01c1-3343-42c4-be74-327bc8c3d815
82,Laptop,Electronics,Samantha Smith,East,6,1182.15,7092.9,2024-09-18,bcbb9afa-fd0d-4b6e-826c-1a3dba74e59d
83,Keyboard,Accessories,Lance Chavez,North,20,897.4,17948.0,2024-06-14,86108341-d891-422c-bdf1-60894f4ec308
84,Mouse,Accessories,Elizabeth Hill,North,13,1804.03,23452.39,2024-02-13,5cbcbdad-9a31-4059-af3e-ff77818c58db
85,Monitor,Electronics,Andrew King,North,14,53.3,746.2,2023-07-09,fb4de7b9-6046-4078-bd06-344822230c61
86,Tablet,Electronics,Anthony Stevens,South,12,891.03,10692.36,2024-12-20,9c0bfdd4-10a6-4b2c-99a5-dc10a5f40987
87,Mouse,Accessories,Jack Perry,East,4,1453.52,5814.08,2024-05-05,607c9edf-d775-4b58-9c93-34d4761f9dac
88,Keyboard,Accessories,Taylor Hill,East,14,686.06,9604.84,2023-12-23,4822666a-ccd6-45a9-b01e-91cb3c7a5f1e
89,Keyboard,Accessories,Jennifer Wilson,South,7,869.87,6089.09,2023-12-20,898a0544-450a-4d1e-9bfa-13be7da3ba8e
90,Printer,Electronics,Anthony Stevens,South,20,1159.76,23195.2,2024-10-13,1a16e4bf-60ef-4a4e-bf1a-6a2ec2218f12
91,Printer,Electronics,Jennifer Wilson,North,10,609.48,6094.8,2023-08-22,dd7be13b-ddb0-44f3-8d82-45ef6e5c7e76
92,Printer,Electronics,John Lamb,East,15,911.48,13672.2,2023-05-19,9a021ddf-903b-4fb6-836f-64036721dbec
93,Monitor,Electronics,Taylor Hill,West,6,1334.76,8008.56,2025-03-12,f64ea643-43c5-46a6-8c59-2ff56a397945
94,Keyboard,Accessories,Taylor Hill,East,3,1645.93,4937.79,2024-02-16,e3470b75-4f4d-4426-b62e-cc8c46d1bfcc
95,Monitor,Electronics,Anthony Stevens,East,8,1622.8,12982.4,2024-05-07,0b62aaac-263f-4726-ac0d-ceab08ca65b5
96,Headphones,Accessories,Tracy Hodge,North,8,1968.68,15749.44,2024-02-20,201e0b40-dd53-43ea-9808-f8a3675b9f29
97,Smartphone,Electronics,Robert Johnson,West,19,429.15,8153.85,2024-02-18,088d98b6-646b-4b1f-9ea9-1eea8f5f81d9
98,Printer,Electronics,Lisa Bennett,West,8,337.76,2702.08,2025-03-09,2d153fa2-3908-4f3b-89c0-64f4a72e084f
99,Laptop,Electronics,Jeffrey Bailey,North,14,476.74,6674.36,2023-05-02,d806391c-6a61-4812-a2e3-c0d814b4591e
100,Tablet,Electronics,Robert Johnson,North,18,535.94,9646.92,2023-09-14,64419297-5c36-4ca2-873a-f704dceaa8ce
101,Smartphone,Electronics,Robert Johnson,South,15,1351.78,20276.7,2025-03-19,14d97aa4-6c11-44ec-85e9-9dbfc8bb742d
102,Tablet,Electronics,Lucas Li,East,15,1244.67,18670.05,2024-01-27,434afc1f-a792-4057-b9f3-ab5f1a12176e
103,Tablet,Electronics,Elizabeth Hill,West,6,1500.13,9000.78,2024-11-15,622cdcdf-1e18-425a-a2c2-1679b97bebb8
104,Camera,Electronics,Anna Robertson,East,8,1687.73,13501.84,2023-11-13,a6370b84-901c-42ad-b035-2d5fe2992ea9
105,Keyboard,Accessories,Amber Nixon,West,8,585.47,4683.76,2024-07-19,e9ac67da-0d7f-46d9-987e-880a53fc733f
106,Smartphone,Electronics,Kathryn Clark,East,8,579.84,4638.72,2024-06-12,5638f2af-de2c-4e07-8d4d-82eeb63d2bfa
107,Mouse,Accessories,David Thornton,North,5,344.12,1720.6,2023-11-13,4abb4bc3-388b-4d9c-b116-a5f040db948b
108,Printer,Electronics,James Noble,South,7,175.25,1226.75,2025-01-09,53979259-8d33-4832-9b2d-a81428e271a1
109,Printer,Electronics,Lisa Kirk,West,14,171.42,2399.88,2024-06-23,f88ae483-b04c-4825-baf4-514035b50c97
110,Printer,Electronics,Jeremy Clements,North,19,791.74,15043.06,2023-05-28,fdba43b4-b9f2-4168-809a-6775fee01be7
111,Laptop,Electronics,Adrian Allen,East,13,1714.22,22284.86,2024-11-21,6dcf637f-cc3d-4ae8-ba0c-c6e673705dc3
112,Printer,Electronics,David Thornton,South,16,477.87,7645.92,2023-11-27,55199565-1177-4a12-8ecf-14b372984ade
113,Printer,Electronics,Lisa Bennett,North,13,705.45,9170.85,2024-04-29,1fa9c416-cb97-4b48-a217-0b3a351b0f72
114,Printer,Electronics,Seth Howell,South,15,1843.11,27646.65,2024-10-12,a360f5de-c2ad-427f-accf-4590937a3adb
115,Tablet,Electronics,Tracy Hodge,West,19,1150.56,21860.64,2023-07-16,23dea99e-8b85-41c0-aebd-5e9c397a2c4a
116,Laptop,Electronics,Ryan Hill,West,5,1740.36,8701.8,2024-12-15,c75ef5e8-9a2c-4691-846e-a26e0c03c534
117,Headphones,Accessories,Nathaniel Crosby,East,13,688.34,8948.42,2024-09-22,4deedf10-59ef-47b5-a491-aad3a566f1a8
118,Camera,Electronics,Cindy Jordan,East,13,592.6,7703.8,2024-08-01,7fbb826d-2a23-47a1-80ee-6d2810558a31
119,Printer,Electronics,Andrew King,North,16,87.8,1404.8,2023-09-28,270b38d9-8e73-4fe7-b9a1-d6e8df37f299
120,Tablet,Electronics,Nathaniel Crosby,East,8,1317.78,10542.24,2023-09-22,8aadfbd9-2d70-4558-a7af-39fb54199432
121,Laptop,Electronics,Jeffrey Bailey,North,8,438.75,3510.0,2023-05-09,e3465a60-7bc4-41fb-aa88-8d69f5bb02d0
122,Laptop,Electronics,Jack Perry,South,8,296.13,2369.04,2024-03-29,257e4c50-d4f8-4c09-af8a-6f7697348ba0
123,Smartphone,Electronics,John Ball,South,15,1413.96,21209.4,2025-03-19,d0c6b57c-7683-4f28-bf82-28b611d99bba
124,Mouse,Accessories,Jerry Martin,North,6,1931.21,11587.26,2024-10-06,0d3594d2-e160-409f-83fe-4f1f731f0507
125,Smartphone,Electronics,John Lamb,North,10,1172.8,11728.0,2024-12-05,1cfe7621-1f29-4ef1-817b-c63d4e0a0b75
126,Printer,Electronics,Jason Barrera,South,3,1204.59,3613.77,2024-02-25,5555bfbf-f9d6-4ba2-81c6-65cb290f976e
127,Monitor,Electronics,Angela Gutierrez,East,20,1620.78,32415.6,2023-05-28,455e195c-33e5-461c-a1fe-3ab7f2515caf
128,Laptop,Electronics,Adrian Allen,West,12,184.47,2213.64,2024-02-24,c4a0c8f1-35e2-4d17-95a2-81b9793c1959
129,Mouse,Accessories,John Montoya,West,16,255.8,4092.8,2024-02-17,fd8b7a73-01f1-485f-94d6-712618475504
130,Mouse,Accessories,Dr. Tracy Ritter,West,5,899.2,4496.0,2024-05-04,eb717f7b-956f-450c-8719-359236181574
131,Tablet,Electronics,Stephanie Munoz,East,20,1625.99,32519.8,2024-09-19,60d4ba52-aa1a-42d4-8801-bb92096df8f6
132,Tablet,Electronics,Amber Nixon,West,15,899.37,13490.55,2024-10-06,e2ee665b-c736-484f-9834-c545778691ed
133,Keyboard,Accessories,Cindy Jordan,South,3,593.91,1781.73,2024-01-23,2b152e5c-d651-443b-9907-0d62181f49c2
134,Camera,Electronics,Marc Downs,West,19,1240.15,23562.85,2024-12-19,090d7c17-5db8-4af4-a056-bef9805568ec
135,Printer,Electronics,Lisa Kirk,North,16,1709.36,27349.76,2023-06-11,27a2cc58-335c-494a-b9cf-5d6d9fd4b1b2
136,Headphones,Accessories,Lisa Bennett,South,12,1605.77,19269.24,2023-08-08,2e408d05-6a4a-4535-9c3c-ba4132dfa01f
137,Mouse,Accessories,Benjamin Heath,East,18,69.79,1256.22,2023-10-28,fa4ed2fb-5f9a-43ee-bd21-23ef6278864c
138,Monitor,Electronics,Ryan Hill,South,14,1002.73,14038.22,2023-12-31,11722817-9e4f-4e10-9928-8a4b4e6f9336
139,Monitor,Electronics,James Noble,West,16,923.94,14783.04,2024-02-01,fa445e4d-3abd-44d9-9c5c-cb3e01b66413
140,Laptop,Electronics,Ryan Hill,East,8,838.58,6708.64,2024-05-29,3ddd8505-ff01-4261-85d8-64a0eb24a9db
141,Monitor,Electronics,Amanda Alvarez,East,16,1129.27,18068.32,2024-12-02,6af17c41-dd28-46d9-9611-db61ae4b3d17
142,Mouse,Accessories,Elizabeth Hill,East,12,1420.57,17046.84,2023-06-03,5f3ee0ef-fa80-498a-99a2-0219bcdb960a
143,Keyboard,Accessories,Amanda Alvarez,East,8,285.28,2282.24,2024-12-20,00d9da18-f9d0-4a4a-8ca6-13cb37fbbed1
144,Monitor,Electronics,Cindy Jordan,North,18,1904.21,34275.78,2024-08-17,da3f8474-1246-4367-b7d8-8ed0484aec39
145,Headphones,Accessories,Megan Hopkins,South,16,589.17,9426.72,2025-01-03,1ec9786c-104a-4d31-b28a-4dead9945ea8
146,Tablet,Electronics,Lucas Li,East,4,1673.63,6694.52,2024-08-25,75776766-b53c-4822-a6f2-3a6f0cf1192d
147,Keyboard,Accessories,Pamela Miranda,East,6,639.42,3836.52,2025-03-31,696aa964-98a5-47ac-a320-e8071e075235
148,Tablet,Electronics,Amanda Mueller,East,2,1949.88,3899.76,2024-10-30,091e1983-cc90-471f-8e65-d78b811f2c12
149,Tablet,Electronics,Margaret Wilson,South,16,250.05,4000.8,2023-09-08,52b55d2d-6636-4624-adf4-c42d579e1533
150,Laptop,Electronics,John Ball,East,16,983.49,15735.84,2023-12-24,fc0687e6-cf43-4d28-8e3f-f86cf3c3cd35
151,Mouse,Accessories,Mrs. Heather Kim DVM,North,9,1885.07,16965.63,2025-01-11,58cc8b03-4548-4a3e-9967-428665274691
152,Camera,Electronics,Samantha Smith,North,13,1008.91,13115.83,2024-10-13,273045b3-5689-4261-a125-108a76a1f129
153,Laptop,Electronics,Michael Morales,South,19,1900.8,36115.2,2024-10-25,15c73c7a-1d9b-43aa-8395-915fde65b2a6
154,Smartphone,Electronics,Marc Downs,North,18,1540.66,27731.88,2024-12-25,1d1c8322-13cf-4f61-952b-a078f50e7755
155,Monitor,Electronics,Amber Nixon,West,15,1821.58,27323.7,2024-04-29,78a429fd-342d-4632-9157-7b18ae475dc7
156,Keyboard,Accessories,John Lamb,West,10,1158.83,11588.3,2024-08-01,1622efa9-6491-4229-b9ff-df347bbfe516
157,Laptop,Electronics,Jack Perry,North,7,1269.75,8888.25,2024-12-09,ae170937-bc85-4898-b7b2-3a6546254abe
158,Keyboard,Accessories,Antonio Ellis,North,6,517.74,3106.44,2024-12-25,dc5b5689-f7fa-4dd9-aae0-5122653cbd7e
159,Tablet,Electronics,Kevin Farley,South,1,846.61,846.61,2024-12-07,51725c45-dc10-490e-a4df-fe517c19a6bd
160,Camera,Electronics,Margaret Wilson,North,8,611.8,4894.4,2023-04-30,66fbf952-32be-4ba3-82c4-6318e4bc3ed8
161,Keyboard,Accessories,James Noble,West,3,1390.4,4171.2,2023-06-10,e7f4f1ef-0d2c-4bc0-8bb0-9a807f525d87
162,Keyboard,Accessories,Dr. Tracy Ritter,South,14,273.81,3833.34,2025-01-09,9ebbdda7-7ac3-4acc-89c8-28b2945eb3e5
163,Monitor,Electronics,Stephanie Munoz,South,9,1661.93,14957.37,2023-12-04,9ae1b2f1-1ae7-48fb-ab4d-ef2350d27469
164,Smartphone,Electronics,Nathaniel Crosby,South,10,1210.34,12103.4,2025-02-24,dd87b118-c7e0-4a72-8d96-9c16eb0382f5
165,Keyboard,Accessories,Anna Robertson,North,15,1392.92,20893.8,2025-02-27,1e7f86fc-94d1-4d0e-a9d9-c8e13c843e9f
166,Printer,Electronics,Benjamin Heath,West,15,206.86,3102.9,2024-09-14,28d37a10-bde8-4a9f-b1da-fcb100c8e0aa
167,Laptop,Electronics,Elizabeth Hill,East,20,538.22,10764.4,2024-12-29,fa43ef0c-9d60-4318-89ad-26cbe086b40b
168,Smartphone,Electronics,Pamela Miranda,North,9,1173.68,10563.12,2023-05-04,e27fd273-2242-4b69-bbc2-32e12527b61b
169,Headphones,Accessories,Jeffrey Davis,West,9,403.9,3635.1,2025-04-02,d301237b-dfcc-4e64-a0d4-3e4121ab3139
170,Printer,Electronics,Dr. Tracy Ritter,West,3,966.52,2899.56,2023-07-23,a8b8e618-1030-4d7b-a155-116d62d93e28
171,Printer,Electronics,Lisa Kirk,East,4,1722.58,6890.32,2025-02-28,3eedd20c-f1b7-426b-a288-e55f33cfabe1
172,Mouse,Accessories,Tammy Klein,West,10,1342.04,13420.4,2024-03-21,2527be6b-0c81-4b5d-a49d-6573288a02b3
173,Printer,Electronics,Jeffrey Bailey,North,15,221.72,3325.8,2025-01-14,4caf3bfc-3554-4e9f-9c26-01093e87a890
174,Keyboard,Accessories,Cindy Jordan,North,13,1736.58,22575.54,2024-09-28,14bdcdd9-a40c-469f-95f3-e372192131e0
175,Laptop,Electronics,Antonio Ellis,West,14,155.7,2179.8,2024-11-25,d40dee52-2329-4cfa-9fba-ebcfc679d9f5
176,Tablet,Electronics,Anna White MD,West,15,1531.98,22979.7,2024-07-21,7ea38587-4fb0-4e02-abfc-a4e606c5d2d8
177,Monitor,Electronics,Benjamin Heath,South,10,904.33,9043.3,2024-03-17,a82185bd-20de-4f5d-a61e-d93ccabeff03
178,Camera,Electronics,Samantha Smith,North,20,1608.66,32173.2,2025-03-11,c113e817-bac1-4847-9bab-83bd4f916939
179,Headphones,Accessories,Amanda Alvarez,North,18,845.58,15220.44,2024-05-22,5fa18ee3-b29a-4fce-aefe-69402ea07002
180,Monitor,Electronics,Samantha Smith,West,4,1313.03,5252.12,2023-05-03,55b6b43e-9271-455d-821d-86116670f313
181,Headphones,Accessories,Lisa Bennett,East,17,1425.55,24234.35,2024-02-12,c244f774-4441-4958-84ae-2422fd139e4a
182,Printer,Electronics,Jeffrey Davis,West,8,940.73,7525.84,2024-01-14,d367fdb6-3f5d-4d10-a3e7-de3712a69b6f
183,Headphones,Accessories,Jeremy Clements,South,20,1041.07,20821.4,2023-10-27,3fa149a8-454b-488a-945d-95b4c4f73aa9
184,Headphones,Accessories,Kevin Farley,East,14,712.76,9978.64,2024-08-04,f42b8382-12dd-4674-b8c5-565c3092e867
185,Tablet,Electronics,Benjamin Heath,North,10,1465.8,14658.0,2023-06-25,acb7a7d0-3a5c-4584-ac0b-22a81138cdf5
186,Camera,Electronics,Michael Morales,West,18,994.47,17900.46,2024-07-02,e2f944a5-9002-4f32-8d89-790874059e72
187,Mouse,Accessories,Jennifer Wilson,West,15,1869.06,28035.9,2024-02-27,d16f6973-ae41-4b46-af08-4b67a9515edc
188,Monitor,Electronics,James Noble,South,19,796.79,15139.01,2023-11-28,df7ea6c6-64e2-45bf-89aa-62b91e4741c2
189,Printer,Electronics,Lance Chavez,East,16,1425.19,22803.04,2023-10-12,d23e927b-4e16-445e-9520-df383b7baf11
190,Printer,Electronics,Jeremy Clements,South,16,1931.41,30902.56,2024-01-27,c0b5545e-b0a7-40b5-ad3f-43a359fe4c51
191,Headphones,Accessories,Taylor Hill,East,4,1754.67,7018.68,2024-09-20,dcd2a23a-6f8f-4c44-b3a8-2663a774c1c8
192,Camera,Electronics,Angela Gutierrez,West,1,1458.77,1458.77,2024-05-27,c1f7e0de-bc42-4db2-af01-cc6241076d3a
193,Printer,Electronics,Stephanie Munoz,South,3,965.51,2896.53,2024-12-13,ad2a46a9-b6fa-4a33-8507-f14c89c85d27
194,Keyboard,Accessories,Lisa Kirk,West,3,1710.94,5132.82,2023-09-11,a55564f3-4df4-4e07-9c0f-472608c002b9
195,Tablet,Electronics,Jeremy Clements,East,16,1751.15,28018.4,2023-05-25,48cc1ed7-ed4b-4e8b-b6d5-5469902dd449
196,Laptop,Electronics,Jack Perry,North,8,1280.76,10246.08,2025-01-30,e6b849c1-67e8-473c-8413-5479e58f291b
197,Keyboard,Accessories,Pamela Miranda,North,14,1957.76,27408.64,2024-09-22,4aef5723-9c6e-486f-b8b5-5081b23774ce
198,Smartphone,Electronics,Anna Robertson,South,10,1811.68,18116.8,2025-04-02,b1ad76dd-5250-45a7-a0eb-8c0a49620725
199,Laptop,Electronics,Cindy Jordan,North,10,749.0,7490.0,2024-09-03,8277d2b1-802a-40b9-bbe7-28584f5a0b2c
200,Printer,Electronics,Michael Morales,South,17,853.5,14509.5,2024-02-21,e0833d2e-8f2f-43f5-a156-2936ddbb5d72
201,Headphones,Accessories,Jerry Martin,South,3,1238.51,3715.53,2024-01-09,da32fa32-7eed-402d-bbb2-58a03119c397
202,Printer,Electronics,Jack Perry,South,16,1830.02,29280.32,2024-06-27,198f000a-ef18-4902-bde1-30c8823d5486
203,Headphones,Accessories,Pamela Miranda,West,9,946.16,8515.44,2025-03-04,50824618-1bf5-40c0-b110-ff21dfac5f57
204,Laptop,Electronics,Robert Johnson,East,18,358.05,6444.9,2024-01-20,f974cab8-ed93-4c7e-978a-619278e14354
